date,clicks,impressions,ctr,position
2026-07-19,40,2345,1.7058,6.06
2026-07-20,143,7623,1.8759,5.95
2026-07-21,142,8973,1.5825,6.21
2026-07-22,111,8734,1.2709,6.20
2026-07-23,103,7844,1.3131,6.22
2026-07-24,121,7968,1.5186,6.54
2026-07-25,67,4416,1.5172,6.40
2026-07-26,79,3886,2.0329,6.31
2026-07-27,161,8334,1.9318,6.31
2026-07-28,137,8585,1.5958,6.67
2026-07-29,117,8286,1.4120,6.57
2026-07-30,144,7850,1.8344,6.45
2026-07-31,122,9894,1.2331,6.74
2026-08-01,84,5667,1.4823,6.78
2026-08-02,84,4472,1.8784,6.49
2026-08-03,189,11030,1.7135,6.52
2026-08-04,141,9763,1.4442,6.70
2026-08-05,123,8882,1.3848,6.77
2026-08-06,130,8059,1.6131,6.60
2026-08-07,105,8099,1.2965,6.70
2026-08-08,69,4551,1.5162,6.69
2026-08-09,65,3836,1.6945,6.53
2026-08-10,147,8554,1.7185,6.45
2026-08-11,135,8688,1.5539,6.63
2026-08-12,132,8789,1.5019,6.66
2026-08-13,131,8527,1.5363,6.64
2026-08-14,120,8216,1.4606,6.51
2026-08-15,56,4065,1.3776,6.65
2026-08-16,57,3557,1.6025,6.39
2026-08-17,90,4813,1.8699,6.29
2026-08-18,148,9204,1.6080,6.29
2026-08-19,138,8827,1.5634,6.58
2026-08-20,144,8570,1.6803,6.56
2026-08-21,134,8936,1.4996,6.50
2026-08-22,81,4603,1.7597,6.76
2026-08-23,72,4716,1.5267,6.31
2026-08-24,163,9954,1.6375,6.30
2026-08-25,156,10989,1.4196,6.61
2026-08-26,163,10870,1.4995,6.53
2026-08-27,175,10183,1.7186,6.41
2026-08-28,137,10254,1.3361,6.66
2026-08-29,102,5693,1.7917,6.54
2026-08-30,79,5369,1.4714,6.36
2026-08-31,262,13036,2.0098,6.22
2026-09-01,238,14111,1.6866,6.39
2026-09-02,239,12847,1.8604,6.49
2026-09-03,202,10635,1.8994,6.40
2026-09-04,176,11152,1.5782,6.55
2026-09-05,106,6154,1.7225,6.74
